,Surname,Other names,Description,Number of votes,ward,ward_result_url,common_name,surname,party
0,Hyde,Bernard Edward,Green Party,34,All Saints,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1737/all_saints_ward_results_-_local_and_parish_elections_2023,Bernard Edward,Hyde,Green Party
1,Kemp,Kier Dorran,Labour Party,118,All Saints,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1737/all_saints_ward_results_-_local_and_parish_elections_2023,Kier Dorran,Kemp,Labour
2,Khatkar,Harjinder Singh (commonly known as Bill Khatkar),Reform UK,49,All Saints,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1737/all_saints_ward_results_-_local_and_parish_elections_2023,Bill Khatkar,Khatkar,Reform UK
3,Ogunfemi,Habeeb Adeyemi (commonly known as Harold Ogunfemi),Local Conservatives,190,All Saints,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1737/all_saints_ward_results_-_local_and_parish_elections_2023,Harold Ogunfemi,Ogunfemi,Conservative
4,Simpson,Elizabeth Ann,Liberal Democrats,22,All Saints,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1737/all_saints_ward_results_-_local_and_parish_elections_2023,Elizabeth Ann,Simpson,Liberal Democrats
5,Spalding,Christopher Stuart (commonly known as Chris Spalding),Independent,295,All Saints,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1737/all_saints_ward_results_-_local_and_parish_elections_2023,Chris Spalding,Spalding,Independent
6,Wallace,Julie,Independent,252,All Saints,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1737/all_saints_ward_results_-_local_and_parish_elections_2023,Julie,Wallace,Independent
0,Animashaun,Shakirat Oyindamola (Commonly known as Damola Animashaun,Labour and Co-operative Party,1136,Chatham Central and Brompton,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1738/chatham_central_and_brompton_ward_results_-_local_and_parish_elections_2023,Damola Animashaun,Animashaun,Labour
1,Gurung,Nina,Labour and Co-operative Party,1211,Chatham Central and Brompton,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1738/chatham_central_and_brompton_ward_results_-_local_and_parish_elections_2023,Nina,Gurung,Labour
2,Juby,Geoffrey William (commonly known as Geoff Juby),Liberal Democrats,295,Chatham Central and Brompton,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1738/chatham_central_and_brompton_ward_results_-_local_and_parish_elections_2023,Geoff Juby,Juby,Liberal Democrats
3,Khera,Vrinderpal Singh (commonly known as Paul Khera),Local Conservatives,552,Chatham Central and Brompton,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1738/chatham_central_and_brompton_ward_results_-_local_and_parish_elections_2023,Paul Khera,Khera,Conservative
4,King,Claude Jenner Granville,Local Conservatives,517,Chatham Central and Brompton,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1738/chatham_central_and_brompton_ward_results_-_local_and_parish_elections_2023,Claude Jenner Granville,King,Conservative
