,ward,url,verified_ballot_papers_in_person,verified_ballot_papers_postal,verified_ballot_papers_total,electorate,turnout,ward_seats,postal_ballot_perc,no_id,no_id_returned,no_id_did_not_return,eligable_to_vote
0,All Saints,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1737/all_saints_ward_results_-_local_and_parish_elections_2023,634,331,965,3495,0.2761087267525036,1,0.34300518134715025,7,5,2,2974
1,Chatham Central and Brompton,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1738/chatham_central_and_brompton_ward_results_-_local_and_parish_elections_2023,1194,1007,2201,10525,0.20912114014251781,3,0.457519309404816,22,13,9,8704
2,"Cuxton, Halling and Riverside",https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1740/cuxton_halling_and_riverside_ward_results_-_local_and_parish_elections_2023,1368,527,1895,6129,0.30918583782019904,2,0.27810026385224274,8,4,4,5226
3,Fort Horsted,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1742/fort_horsted_ward_results_-_local_and_parish_elections_2023,717,373,1090,3530,0.3087818696883853,1,0.3422018348623853,4,3,1,2900
4,Fort Pitt,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1743/fort_pitt_ward_results_-_local_and_parish_elections_2023,1904,1190,3094,9170,0.3374045801526718,3,0.38461538461538464,27,17,10,7757
5,Gillingham North,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1745/gillingham_north_ward_-_local_and_parish_elections_2023,1347,880,2227,10237,0.21754420240304778,3,0.3951504265828469,14,9,5,8661
6,Gillingham South,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1746/gillingham_south_ward_-_local_and_parish_elections_2023,1608,870,2478,11085,0.22354533152909337,3,0.35108958837772397,26,10,16,9538
7,Hempstead and Wigmore,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1749/hempstead_and_wigmore_ward_-_local_and_parish_elections_2023,1776,844,2620,7463,0.3510652552592791,2,0.32213740458015266,2,1,1,6110
8,Hoo St Werburgh and High Halstow,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1750/hoo_st_werburgh_and_high_halstow_ward_results_-_local_and_parish_elections_2023,2346,1003,3349,10049,0.3332669917404717,3,0.29949238578680204,3,2,1,8439
9,Lordswood and Walderslade,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1753/lordswood_and_walderslade_ward_results_-_local_and_parish_elections_2023,1658,1336,2994,10857,0.2757667864050843,3,0.44622578490313963,5,4,1,8668
10,Luton,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1756/luton_ward_results_-_local_and_parish_elections_2023,848,688,1536,6871,0.22354824625236502,2,0.4479166666666667,4,4,0,5598
11,Princes Park,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1757/princes_park_ward_results_-_local_and_parish_elections_2023,808,813,1621,6645,0.2439428141459744,2,0.5015422578655151,6,3,3,5311
12,Rainham North,https://www.medway.gov.uk/info/200670/local_and_parish_elections_2023_results/1758/rainham_north_ward_results_-_local_and_parish_elections_2023,1827,1144,2971,10341,0.28730296876510975,3,0.38505553685627736,2,2,0,8490
